geocode	commune	pop_natio_dens_2015	pop_natio_part_etr_2015	pop_natio_part_natifs_2010	pop_natio_pop_31_12_2015	pop_age_taux_dep_2015	pop_age_ind_fecond_2015	pop_evol_taux_1950_2000	pop_evol_taux_2000_2010	pop_mouv_tx_natur_2010	envir_tx_dechet_2010	agricult_part_sau_2010	loge_vac_tx_vac_2015	transports_tx_vehic_2014	sante_divers_tx_hospit_2014	infraction_tx_code_2015
5401	Aigle	595	39	26.2	9757	64.6	0.52	1.15	1.89	3.71	500	40	0.77	505	174	88.7
5402	Bex	74.9	30.8	8.1	7236	69.8	0.64	0.3	1.43	3.62	497	10.6	0.8	516	174	69.8
5403	Chessel	111	15.7	1.7	396	61	0.54	0.91	0.98	0	454	64	3.31	630	180	41.3
5404	Corbeyrier	19.7	9.9	4.9	433	88.3	0.56	0.48	1.83	0	529	3.9	0	570	131	16.6
5405	Gryon	83.1	31.1	5.5	1265	70.3	0.52	0.72	1.33	4.06	711	4.9	4.1	645	163	57.6
5406	Lavey-Morcles	63.9	17.3	2.2	907	63.4	0.64	-0.17	0.86	3.94	560	6.3	1.15	530	147	76.4
5407	Leysin	223	60.4	1.1	4148	59	0.37	-1.29	3.12	0.85	632	19.9	3.06	337	111	53.3
5408	Noville	99.4	26.2	4.7	1029	64.9	0.79	0.66	0.88	1.01	663	38.9	3.46	586	111	122
5409	Ollon	125	36.2	3.9	7419	80.4	0.5	0.78	1.2	1.33	703	21.6	1.71	598	109	53.5
5410	Ormont-Dessous	17.5	14.9	5.2	1119	64.1	0.57	-0.58	0.65	0	691	14.6	0	585	158	42.9
5411	Ormont-Dessus	24	25.5	5.5	1481	72.8	0.51	0.62	0.68	0.94	1013	9	1.1	651	149	42.4
5412	Rennaz	385	31.9	0.6	843	54.4	0.64	1.84	1.8	1.19	408	62.4	2.51	589	124	152
5413	Roche	234	30.7	4	1507	65.8	0.69	0.35	1.35	2.14	624	44.6	7.62	580	168	57.9
5414	Villeneuve	169	38.7	2.3	5428	65.3	0.57	1.42	1.83	2.15	517	2.8	0.83	504	156	77.4
5415	Yvorne	84.6	15.2	4	1032	55.7	0.42	0.45	0.28	1.47	525	42.9	3.25	628	144	116
5421	Apples	105	16.4	1.4	1363	78.2	0.82	1.33	1.08	3.19	487	40.6	1.74	591	155	25.4
5422	Aubonne	344	32.3	7.5	3227	62.2	0.53	0.8	1.1	0.43	591	53.6	0.41	651	116	99.5
5423	Ballens	60	19.3	3.9	509	66.3	0.47	-0.27	2.4	0	378	57.2	0.92	588	94	17.8
5424	Berolle	30.4	13	2.8	292	57.8	0.3	0.35	2.94	0	445	34.2	0.82	603	80	20.1
5425	Bière	62	24.9	4.7	1550	67.4	0.54	0.26	0.87	8.3	404	32.8	1.82	571	162	17.6
5426	Bougy-Villars	272	32.4	1.6	481	72.4	0.63	0.7	1.79	4.17	455	26	2.18	750	163	58.3
5427	Féchy	319	29	1.7	860	67.6	0.63	1.21	2.02	0.98	387	64.5	2.98	676	99	56.9
5428	Gimel	101	23.8	2.4	1907	66.7	0.54	0.57	2.65	4.91	536	29.9	0.12	602	185	38
5429	Longirod	49	18.1	1.7	463	61.3	0.76	0.71	1.91	0	463	39.2	9.43	655	0	43.3
5430	Marchissy	37.4	15	3.1	448	58.9	0.73	0.72	2.47	2	458	25.2	1.5	615	0	33.7
5431	Mollens	26.7	12.2	1.4	294	64.2	0.57	-0.51	0.04	0	373	42.9	3.18	639	189	24.3
5432	Montherod	104	28.2	1.1	518	49.7	0.43	1.27	2.17	0.88	533	44.8	3.17	607	176	38.7
5434	Saint-George	77	22.9	1.5	949	67.7	0.59	2.22	3.99	2.45	449	14.5	2.75	625	0	38.7
5435	Saint-Livres	87.8	18.2	2.6	713	57.4	0.52	0.47	1.47	7.94	401	57.4	1.62	641	106	17.2
5436	Saint-Oyens	113	17.7	1.6	345	62	0.53	1.18	2.38	4.35	352	65.1	0	653	127	0
5437	Saubraz	106	19.9	3.4	391	67.1	0.61	-0.02	5.5	0	508	28.6	2.67	566	133	51
5451	Avenches	210	35.9	2.1	4090	60	0.55	0.64	1.49	3.26	703	48.1	1.02	588	102	106
5456	Cudrefin	95.8	13.8	2.9	1516	62.7	0.64	0.51	4.11	2.08	545	43.4	1.32	663	68	32.1
5458	Faoug	247	18.6	1.1	853	52.6	0.55	0.42	2.73	0	362	53.8	5.97	582	59	47.4
5464	Vully-les-Lacs	134	13.8	4.2	2825	64.2	0.57	0.29	1.54	4.62	551	81.3	0.23	661	94	46.9
5471	Bettens	149	16.2	3.2	557	51.4	0.74	1.07	1.37	0	337	90.1	0	601	0	24.6
5472	Bournens	95.6	22	1.4	373	81.1	0.69	0.77	1.24	0	447	66.2	1.33	635	124	33.3
5473	Boussens	304	15.4	1	958	57.3	0.75	3.06	1.6	4.44	417	66.9	0.28	630	126	25.4
5474	La Chaux (Cossonay)	62.4	13.5	1.2	421	64.5	0.6	0.16	1.84	0	388	73.9	0	827	71	19
5475	Chavannes-le-Veyron	45.6	12.5	1.6	120	48.1	0.92	0.48	-0.49	0	373	86.8	0	646	0	78.7
5476	Chevilly	73.9	10.8	2	286	59.8	0.79	0.48	1.54	0	364	63.9	9.17	659	72	4
5477	Cossonay	439	23.7	1	3642	60	0.62	1.42	2.97	0.97	434	59.2	1.38	551	132	46.7
5478	Cottens	200	11.4	1.1	473	70.1	0.49	1.28	2.56	3.08	399	154	0	676	122	29.5
5479	Cuarnens	61.5	12.3	4.4	439	53.5	0.57	0.2	-0.49	2.5	469	79.8	1.65	635	0	13.8
5480	Daillens	170	20	2.1	940	54.9	0.72	0.66	4.13	1.64	395	80.9	1.02	657	119	46.8
5481	Dizy	72.7	11.3	2.3	221	57.9	0.76	0.36	3.14	0	430	75.4	3.33	621	0	22.5
5482	Eclépens	179	27.4	1.4	1039	58.4	0.55	1.54	0.83	1.32	335	78.1	0	664	140	52.3
5483	Ferreyres	99.4	6.7	0.7	313	62.2	1.33	0.82	2.79	6.25	321	59.5	0.82	570	82	36.5
5484	Gollion	158	16.1	2.1	857	53.6	0.64	0.74	1.17	6.33	518	84	1.68	645	142	23.4
5485	Grancy	69.6	15.4	2.4	396	59.7	0.33	0.38	1.62	0	437	56.2	0	714	153	12.9
5486	L'Isle	63.7	12.4	4.8	1032	62	0.65	0.33	1.13	1.92	640	41.3	0	689	309	30.9
5487	Lussery-Villars	113	21	2.9	423	42.9	0.52	0.74	0.68	0	446	85.4	0	696	177	17.2
5488	Mauraz	98	0	5.6	49	63.3	ND	0.14	2.07	16.7	356	170	0	674	0	40.8
5489	Mex	240	26.8	0.6	678	55.9	0.37	2.07	2.24	1.35	585	39.9	0.96	760	135	63.4
5490	Moiry	43.5	7.6	2.3	290	64.8	0.7	0.39	2.35	4	444	36.7	0	620	0	7.6
5491	Mont-la-Ville	19.3	11.3	5.8	382	78.5	0.45	-0.14	0.54	0	341	16.8	0	605	0	77.7
5492	Montricher	37	14.2	5.9	961	64.8	0.57	0.23	1.52	1.37	597	25.1	0.74	653	133	19.3
5493	Orny	67.4	17.9	2.5	375	60.9	0.69	0.1	1.41	0	328	80.3	0	621	137	32.8
5494	Pampigny	101	15	3.2	1124	60.1	0.71	0.9	1.79	0.9	446	54.7	0	605	120	21.8
5495	Penthalaz	838	26.8	0.3	3241	60.6	0.57	1.85	2.53	4.55	534	54	0.57	579	140	54.9
5496	Penthaz	432	22.6	0.3	1653	65.8	0.58	3.25	2.31	1.86	468	44.7	0	648	105	25.9
5497	Pompaples	187	25.5	18.7	834	67.5	0.57	0.77	0.79	1.85	349	57.2	0	563	158	42.9
5498	La Sarraz	332	28.3	1	2559	57.5	0.5	1.03	2.53	0.69	489	26.7	0.18	555	127	48.6
5499	Senarclens	114	13.1	1.8	451	81.1	0.62	1.28	1.44	6.25	494	117	0	655	0	34
5500	Sévery	97.1	10.8	2.7	231	60.4	0.71	0.67	1.34	0	399	76.9	6.19	610	65	17.9
5501	Sullens	236	14.1	1.8	925	67	0.74	2.17	0.49	0	411	59	0.78	676	117	60.6
5503	Vufflens-la-Ville	226	15.8	0.8	1216	66.8	0.52	2.22	1.36	0.72	442	46.2	0	649	117	63.5
5511	Assens	193	12.9	6.5	1031	69.3	0.8	1.17	1.9	1.01	455	90.7	0	630	225	47.9
5512	Bercher	270	18.6	1.6	1148	70.3	0.82	1.47	2.68	0.59	459	45	0.43	629	150	24.5
5513	Bioley-Orjulaz	151	17.8	1.1	471	48.6	0.79	0.98	4.49	0	317	61.4	0	1063	0	24
5514	Bottens	177	15.7	4.2	1220	59.1	0.8	1.66	2.04	1.8	405	67.1	0	614	0	28.2
5515	Bretigny-sur-Morrens	279	15.3	0.7	797	57.2	0.49	2.17	2.54	14.1	438	40.1	1.2	624	0	25.6
5516	Cugy	950	24.5	0.4	2755	68.1	0.65	3.81	1.37	1.17	520	51.7	0.18	627	140	34.5
5518	Echallens	842	20.5	1.5	5606	63.6	0.52	2.42	1.89	3.83	398	65.8	0	561	244	46.7
5520	Essertines-sur-Yverdon	96.9	12	2	945	68.4	0.64	0.16	2.6	1.2	323	67.1	0.26	669	173	25.3
5521	Etagnières	302	23	3	1146	60.5	0.63	2.32	1.97	1.94	510	81.6	1.11	629	113	40.7
5522	Fey	86.4	9.9	7.1	635	64.5	0.67	0.23	2.6	5.63	354	54.3	0	624	150	28.8
5523	Froideville	342	16.9	1.6	2422	63.2	0.65	3.33	1.84	0	444	44.2	0.66	597	120	26.8
5527	Morrens	288	13.3	1.1	1055	73.2	0.58	2.66	1.04	0	544	47.4	0.23	609	124	36
5529	Oulens-sous-Echallens	90.8	10.9	2.7	532	59.3	0.49	0.55	1.7	0	484	63.8	0	775	146	28.2
5530	Pailly	92.4	11.4	3.9	533	63.5	0.45	0.21	2.28	0	445	73.8	0.96	609	115	19.2
5531	Penthéréaz	68.5	5.7	5.3	389	62.1	0.63	0.6	0.37	0	403	66.2	0	651	92	28.5
5533	Poliez-Pittet	163	12.8	6.3	815	61.4	0.6	1.09	2.31	0	413	62.2	0	647	0	17.4
5534	Rueyres	131	10.9	4.5	265	74.3	0.68	0.16	1.96	0	335	112	0.98	563	102	26.8
5535	Saint-Barthélemy	190	10.7	5.7	782	53.3	0.61	1.37	1.99	1.43	366	77.4	0	652	0	23.2
5537	Villars-le-Terroir	146	11.1	10.6	1033	64.2	0.62	0.37	1.74	0	456	88.5	0	616	0	31.8
5539	Vuarrens	104	14	2.8	935	69.4	0.75	0.47	3.6	0	356	64.4	0	569	121	8.6
5540	Montilliez	140	14	2.2	1656	62.7	0.63	0.72	2.7	1.86	450	72.2	0	618	26	37.4
5541	Goumoëns	98.7	10.8	2.9	1055	71.5	0.82	0.67	1.91	0	408	65.5	0	632	170	25
5551	Bonvillars	67.1	9.7	3	506	67.5	0.55	0	3.53	0	212	35.3	0.88	634	127	15.7
5552	Bullet	36	5.6	6.9	606	79.8	0.67	-0.27	0.71	0	257	23.3	0.64	675	233	73.8
5553	Champagne	267	14.8	2.8	1048	60.7	0.62	0.61	2.23	0.96	372	61.2	1.68	610	110	14
5554	Concise	83.7	15.6	0.8	954	66.2	0.49	0.01	1.26	5.32	206	22.7	1.03	589	175	34.3
5555	Corcelles-près-Concise	82.4	8	1.8	337	64.4	0.7	0.46	0.11	0	244	54.6	0	544	0	42.2
5556	Fiez	61.5	10.7	2.5	421	74.7	0.65	0.49	1.63	2	300	25.6	0	635	80	21.8
5557	Fontaines-sur-Grandson	24.3	16.2	4.1	191	64.7	0.55	-0.2	1.01	18.8	341	27.6	0	661	272	21.9
5559	Giez	81.6	12.1	2.9	389	67.7	0.39	1	0.03	3.03	283	59.7	0.54	698	80	28.6
5560	Grandevent	67.2	15.1	1.4	232	66.9	0.86	1.4	3.89	5.56	395	17.6	0	690	0	26.5
5561	Grandson	420	18.6	1.6	3303	59.2	0.52	0.76	1.43	4.44	293	41.1	0	605	151	78.3
5562	Mauborget	21.6	20.2	2.1	119	77.6	ND	0.26	1.14	0	368	39.2	0	636	0	81.8
5563	Mutrux	47.7	5.9	8.3	153	73.9	0.67	0.1	0.78	14.3	384	37.2	3.23	584	0	20.3
5564	Novalles	49.5	5.9	2	102	75.9	1.1	0.42	-0.1	0	385	82.8	0	667	0	29.4
5565	Onnens	96.5	13.4	1.9	493	66	0.55	0.75	1.74	5.17	449	27.1	0	606	91	28
5566	Provence	12.1	9.6	10.3	385	61.1	0.48	-0.48	-0.09	6.25	329	20.6	3.92	689	178	26.5
5568	Sainte-Croix	121	18.2	24.4	4763	76.6	0.65	-0.94	0.86	2.11	391	34.4	1.68	499	223	64.2
5571	Tévenon	56.7	12.2	2.6	811	67.6	0.65	1.24	1.03	3.03	295	22.3	1.89	642	106	36.8
5581	Belmont-sur-Lausanne	1359	25.4	0.3	3602	63.4	0.64	3.59	3.54	1.7	510	41.5	0.46	606	109	34.4
5582	Cheseaux-sur-Lausanne	936	23.1	0.4	4297	55.5	0.52	4.06	3	1.56	418	70.4	0.17	620	117	44.2
5583	Crissier	1369	43.2	0.4	7542	58.6	0.51	2.19	1.45	1.94	487	20.1	0.54	656	136	99.3
5584	Epalinges	2010	29.7	0.3	9185	66.3	0.51	4.44	1.25	2.17	464	10.6	1.93	521	129	46.4
5585	Jouxtens-Mézery	728	21.5	0.4	1405	73.2	0.6	3.13	1.41	1.69	403	34.6	2.42	582	0	79.5
5586	Lausanne	3261	42.6	31.1	134937	52.9	0.38	0.12	1.04	2.16	496	12.6	0.14	389	151	129
5587	Le Mont-sur-Lausanne	740	25.3	0.6	7271	68.5	0.59	2.66	0.81	1.81	498	49.8	0.04	654	151	73.5
5588	Paudex	3094	33.7	0.4	1485	65.9	0.5	2.16	0.03	3.18	541	7.3	0.56	574	177	47.2
5589	Prilly	5380	41.4	0.5	11782	64.4	0.46	2.2	0.77	1.95	404	19.9	0.17	442	176	95.6
5590	Pully	3045	31.6	1.3	17811	74.8	0.49	1.63	0.75	1.73	423	40.4	0.4	510	151	43.4
5591	Renens	6879	51.2	0.6	20362	55.8	0.45	2.21	1.37	2.24	437	8.4	0.17	434	134	88
5592	Romanel-sur-Lausanne	1164	24.3	0.5	3351	61.2	0.49	4.67	0.63	2.23	429	26.1	0.33	669	146	61.7
5601	Chexbres	1036	22.7	2.9	2218	75.9	0.49	0.72	0.34	1.98	517	48	1.3	664	218	45.7
5604	Forel (Lavaux)	113	19.2	4.1	2085	60.4	0.51	1.19	1.23	3.82	468	58.9	0.22	643	107	47.8
5606	Lutry	1153	26.4	1	9739	73.4	0.55	2.1	1.25	1.14	559	22.2	0.57	589	142	55.3
5607	Puidoux	125	31.6	4.2	2858	54.3	0.55	1.09	1.33	4.34	517	60.3	0.15	584	120	56.6
5609	Rivaz	1161	19.4	3.1	360	72.2	0.64	-0.17	1.15	1.92	517	163	3.93	632	0	54
5610	St-Saphorin (Lavaux)	430	20.6	2.3	383	68	0.63	0.26	0.06	0	518	62.8	5.56	410	0	79.6
5611	Savigny	206	22.5	2.2	3304	65.4	0.59	2.31	1.09	2.7	613	55.6	0.13	676	133	54
5613	Bourg-en-Lavaux	544	21.8	2.1	5247	67.6	0.52	0.85	0.2	2.28	606	79	0	613	125	48
5621	Aclens	135	27.8	1.9	528	57.6	0.8	0.66	2.72	6.93	393	62.4	0	1013	125	54
5622	Bremblens	176	15.9	3	511	73.8	0.74	1.36	3.01	3.33	426	87.3	0.98	836	122	22.3
5623	Buchillon	293	23.9	0.2	624	73.3	0.39	1.93	0.08	1.68	671	24.1	0	739	153	81.3
5624	Bussigny-près-Lausanne	1704	36.8	0.3	8215	56.6	0.52	3.12	0.99	2.49	481	35.8	0.11	611	129	66.4
5625	Bussy-Chardonney	124	11.7	1.3	377	73.7	0.5	1.15	1.57	0	456	67	0.67	598	86	10.3
5627	Chavannes-près-Renens	4469	51.6	0.2	7374	54.8	0.48	3.19	2	2.47	387	0	0.06	397	128	71.2
5628	Chigny	368	26	0.6	331	57.6	0.34	1.74	2.32	0	307	82.9	1.46	561	0	51.2
5629	Clarmont	160	17.5	4.5	160	46.8	0.38	0.84	-0.36	0	597	231	3.53	671	79	6.5
5631	Denens	217	18.5	1.5	714	60.8	0.7	2.32	1.23	0	442	88.8	1	618	139	37.2
5632	Denges	995	28.8	1	1651	52.4	0.35	2.71	3.93	0.95	403	57.7	0.14	570	0	41.8
5633	Echandens	678	29	0.5	2631	67.4	0.47	2.95	0.61	1.72	494	47.5	0.1	667	205	62.9
5634	Echichens	195	16.1	2.2	2585	76	0.65	1.53	1.19	2.65	456	71.4	1.98	568	158	38.7
5635	Ecublens	2152	45.9	0.3	12288	56.1	0.48	4.15	1.32	2.31	379	35.6	0.17	488	125	78.7
5636	Etoy	597	32.5	0.6	2932	59.6	0.49	2.01	2.42	2.89	428	68.7	0.54	635	121	94.3
5637	Lavigny	245	25	0.7	981	60	0.68	0.77	1.65	3.18	286	53.2	0.28	604	130	33.3
5638	Lonay	684	22.6	1.1	2536	76.4	0.47	2.52	2.49	2.83	424	32.8	0	689	130	44.8
5639	Lully	371	15.5	1	760	72.3	0.67	2.42	1.69	2.9	384	56	2.24	567	134	58.9
5640	Lussy-sur-Morges	276	18.7	0.9	646	82	0.98	2.29	0.48	1.16	442	71.8	1.54	636	134	6.1
5642	Morges	4058	36	21.3	15623	63.5	0.43	1.5	0.52	2.31	531	29.8	0.21	510	154	87.6
5643	Préverenges	2830	32	0.4	5263	63.9	0.57	4.36	1.96	3.05	402	19.6	0.04	593	140	49.4
5644	Reverolle	305	16.7	1.7	360	57.9	0.57	1.74	1.04	0	452	138	0.74	730	142	50.6
5645	Romanel-sur-Morges	262	13.9	3	459	52	0.59	2.37	0.59	2.38	515	78.5	1.02	917	127	45.6
5646	Saint-Prex	1015	36.8	1.4	5604	61.4	0.55	1.98	2.27	1.73	543	49.6	0.49	611	125	54.1
5648	Saint-Sulpice	2096	44.6	0.2	3898	64.5	0.56	2.6	0.95	1.91	433	2.3	1.7	585	132	62
5649	Tolochenaz	1167	30.4	0.8	1855	58.8	0.53	3.19	0.3	4.79	442	10.4	0	647	135	104
5650	Vaux-sur-Morges	96.7	15.3	1.8	203	78.1	0.42	0.44	1.34	13.6	449	68.7	0	617	123	35.9
5651	Villars-Sainte-Croix	430	25	1	709	61.5	0.7	3.07	1.21	2.61	422	64.7	1.71	1009	127	68.2
5652	Villars-sous-Yens	186	14.7	2.6	564	57.5	0.56	1.67	0.38	5.19	394	87.2	0.84	633	88	21
5653	Vufflens-le-Château	384	18.8	1.9	821	74.7	0.68	2.18	2.08	1.3	420	37.3	1.29	562	167	36.4
